# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 492K of event 'cpu-clock'
# Event count (approx.): 123225000000
#
# Overhead  Command  Shared Object      Symbol                                       
# ........  .......  .................  .............................................
#
    25.58%  lu.B.x   lu.B.x             [.] rhs_._omp_fn.0
    19.87%  lu.B.x   lu.B.x             [.] buts_
    18.70%  lu.B.x   lu.B.x             [.] blts_
    15.84%  lu.B.x   lu.B.x             [.] jacld_
    14.57%  lu.B.x   lu.B.x             [.] jacu_
     2.24%  lu.B.x   lu.B.x             [.] ssor_._omp_fn.1
     0.85%  lu.B.x   lu.B.x             [.] sync_left_
     0.56%  lu.B.x   libgomp.so.1.0.0   [.] 0x0000000000019511
     0.43%  lu.B.x   lu.B.x             [.] sync_right_
     0.25%  lu.B.x   lu.B.x             [.] exact_
     0.23%  lu.B.x   libc-2.26.so       [.] __mcount_internal
     0.17%  lu.B.x   [kernel.kallsyms]  [k] __softirqentry_text_start
     0.14%  lu.B.x   [kernel.kallsyms]  [k] finish_task_switch
     0.13%  lu.B.x   [kernel.kallsyms]  [k] exit_to_usermode_loop
     0.11%  lu.B.x   lu.B.x             [.] erhs_._omp_fn.0
     0.04%  lu.B.x   lu.B.x             [.] setiv_._omp_fn.0
     0.04%  lu.B.x   [kernel.kallsyms]  [k] entry_SYSCALL_64_fastpath
     0.03%  lu.B.x   libc-2.26.so       [.] _mcount
     0.02%  lu.B.x   libgomp.so.1.0.0   [.] 0x0000000000019513
     0.02%  lu.B.x   libc-2.26.so       [.] __profil_counter
     0.02%  lu.B.x   libgomp.so.1.0.0   [.] 0x0000000000019515
     0.02%  lu.B.x   libgomp.so.1.0.0   [.] omp_get_num_threads
     0.02%  lu.B.x   lu.B.x             [.] l2norm_._omp_fn.0
     0.01%  lu.B.x   [kernel.kallsyms]  [k] __fpu__restore_sig
     0.01%  lu.B.x   [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.01%  lu.B.x   libgomp.so.1.0.0   [.] 0x0000000000019379
     0.01%  lu.B.x   [kernel.kallsyms]  [k] __do_page_fault
     0.01%  lu.B.x   [kernel.kallsyms]  [k] ptregs_sys_rt_sigreturn
