Benchmark,Flags,Time,Energy,Success
BT.C,-O3,44.356798,8560742150,True
BT.C,-O3,43.949712,8687848451,True
BT.C,-O3,43.803738,8726619989,True
BT.C,-O3,45.027443,8965086317,True
BT.C,-O3,44.997527,8916038854,True
CG.C,-O3,14.334046,2938979304,True
CG.C,-O3,14.469157,2959229601,True
CG.C,-O3,14.353737,2940102311,True
CG.C,-O3,14.390935,2944820439,True
CG.C,-O3,14.228609,2927292399,True
