ReferenceBenchmark,ApplyToBenchmark,Energy,Time,Success
BT,BT.C,7972831956,38.055659,True,
BT,BT.C,8063951106,38.51751,True,
BT,BT.C,8041585704,38.013223,True,
BT,CG.C,3094868595,15.098894,True,
BT,CG.C,3059124071,14.870528,True,
BT,CG.C,3074170369,15.014141,True,
BT,EP.D,24792278042,131.372593,True,
BT,EP.D,24821364741,131.420895,True,
BT,EP.D,24801594799,131.378435,True,
BT,FT.C,2647453518,11.322139,True,
BT,FT.C,2626528404,11.167015,True,
BT,FT.C,2646066294,11.327069,True,
BT,IS.D,6851487240,40.560351,True,
BT,IS.D,6838640317,40.715921,True,
BT,IS.D,6814782722,40.519813,True,
BT,MG.D,19246675236,84.346325,True,
BT,MG.D,19323774241,84.389465,True,
BT,MG.D,19330395339,84.381059,True,
BT,UA.C,7595674991,37.628941,True,
BT,UA.C,7610081821,37.745219,True,
BT,UA.C,7663709177,38.032819,True,
BT,backprop,4229686276,41.870508,True,
BT,backprop,4248553743,42.255031,True,
BT,backprop,4379106521,42.52561,True,
BT,botsalgn,5962634005,32.996011,True,
BT,botsalgn,5987974962,32.981313,True,
BT,botsalgn,6000989824,32.990124,True,
BT,botsspar,8196059338,55.722433,True,
BT,botsspar,8205895196,55.724543,True,
BT,botsspar,8161708633,55.543488,True,
BT,bwaves,6011022303,45.359135,True,
BT,bwaves,6015410433,45.337028,True,
BT,bwaves,6016255644,45.390927,True,
BT,fma3d,5716196025,42.194133,True,
BT,fma3d,5691023270,42.055037,True,
BT,fma3d,5632335886,41.477579,True,
BT,hotspot,15047984300,80.73859,True,
BT,hotspot,15302200403,82.073824,True,
BT,hotspot,15608335558,84.082412,True,
BT,imagick,7148032027,39.356523,True,
BT,imagick,7179118231,39.108473,True,
BT,imagick,7181159196,39.102695,True,
BT,kdtree,6422391409,46.959925,True,
BT,kdtree,6403851569,46.678876,True,
BT,kdtree,6400876267,46.836443,True,
BT,kmeans,3733234095,27.188076,True,
BT,kmeans,3837670397,27.417437,True,
BT,kmeans,3621221317,26.361152,True,
BT,lbm,431219,0.005828,False,
BT,lbm,143779,0.001964,False,
BT,lbm,144909,0.002014,False,
BT,nab,4346862432,25.297553,True,
BT,nab,4318564171,24.885141,True,
BT,nab,4329951867,24.884273,True,
BT,smithwa,7804119821,40.061595,True,
BT,smithwa,7817585205,40.044501,True,
BT,smithwa,7824770530,40.056413,True,
BT,swim,9054373575,41.583584,True,
BT,swim,9044945326,41.591653,True,
BT,swim,9125830335,42.267767,True,
CG,BT.C,9196486564,44.853211,True,
CG,BT.C,9035924986,44.034364,True,
CG,BT.C,9006175252,43.916022,True,
CG,CG.C,2960162950,14.273829,True,
CG,CG.C,2973836415,14.35097,True,
CG,CG.C,2970554898,14.325933,True,
CG,EP.D,23746608050,125.203096,True,
CG,EP.D,23751443455,125.244571,True,
CG,EP.D,23767580246,125.260793,True,
CG,FT.C,2467809780,10.789393,True,
CG,FT.C,2471424114,10.794752,True,
CG,FT.C,2474294207,10.861019,True,
CG,IS.D,6781235164,40.066786,True,
CG,IS.D,6761900195,40.047625,True,
CG,IS.D,6754515176,40.047665,True,
CG,MG.D,18838183015,84.16302,True,
CG,MG.D,18913347600,84.138559,True,
CG,MG.D,18868287884,84.085778,True,
CG,UA.C,7378014115,36.698954,True,
CG,UA.C,7356250541,36.510948,True,
CG,UA.C,7390032351,36.768869,True,
CG,backprop,4205725794,42.189377,True,
CG,backprop,4270887170,42.479698,True,
CG,backprop,4293841507,42.241605,True,
CG,botsalgn,5259785737,29.281091,True,
CG,botsalgn,5284554534,29.260117,True,
CG,botsalgn,5296307037,29.268921,True,
CG,botsspar,8242724774,56.130217,True,
CG,botsspar,8174261974,55.730186,True,
CG,botsspar,8222839143,55.976167,True,
CG,bwaves,6012147510,45.36758,True,
CG,bwaves,5974114684,45.275168,True,
CG,bwaves,5971254507,45.269183,True,
CG,fma3d,5928750009,44.624546,True,
CG,fma3d,5740380391,43.69462,True,
CG,fma3d,5719395317,43.479957,True,
CG,hotspot,8946487885,47.634269,True,
CG,hotspot,8932612823,47.244229,True,
CG,hotspot,8927931018,47.163583,True,
CG,imagick,6408693661,34.77871,True,
CG,imagick,6441293615,34.752955,True,
CG,imagick,6449073610,34.745806,True,
CG,kdtree,6094479424,44.326191,True,
CG,kdtree,6131206243,45.1068,True,
CG,kdtree,6131733725,45.026732,True,
CG,kmeans,4139361314,29.6573,True,
CG,kmeans,4126793027,29.623474,True,
CG,kmeans,4152950668,29.335937,True,
CG,lbm,151918,0.002317,False,
