# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 719K of event 'cpu-clock'
# Event count (approx.): 179887250000
#
# Overhead  Command  Shared Object         Symbol                               
# ........  .......  ....................  .....................................
#
    21.24%  bt.B.x   bt.B.x                [.] binvcrhs_
    15.14%  bt.B.x   libc-2.26.so          [.] __mcount_internal
    11.78%  bt.B.x   bt.B.x                [.] compute_rhs_._omp_fn.0
    11.65%  bt.B.x   bt.B.x                [.] y_solve_._omp_fn.0
    11.33%  bt.B.x   bt.B.x                [.] z_solve_._omp_fn.0
    11.23%  bt.B.x   bt.B.x                [.] matmul_sub_
     9.69%  bt.B.x   bt.B.x                [.] x_solve_._omp_fn.0
     3.51%  bt.B.x   bt.B.x                [.] matvec_sub_
     1.57%  bt.B.x   libc-2.26.so          [.] _mcount
     0.93%  bt.B.x   libgomp.so.1.0.0      [.] 0x0000000000019511
     0.69%  bt.B.x   bt.B.x                [.] add_._omp_fn.0
     0.22%  bt.B.x   bt.B.x                [.] lhsinit_
     0.19%  bt.B.x   bt.B.x                [.] exact_solution_
     0.18%  bt.B.x   [kernel.kallsyms]     [k] __softirqentry_text_start
     0.13%  bt.B.x   [kernel.kallsyms]     [k] exit_to_usermode_loop
     0.13%  bt.B.x   bt.B.x                [.] binvrhs_
     0.11%  bt.B.x   [kernel.kallsyms]     [k] finish_task_switch
     0.06%  bt.B.x   bt.B.x                [.] exact_rhs_._omp_fn.0
     0.05%  bt.B.x   bt.B.x                [.] initialize_._omp_fn.0
     0.04%  bt.B.x   libgomp.so.1.0.0      [.] 0x0000000000019513
     0.03%  bt.B.x   libgomp.so.1.0.0      [.] 0x0000000000019515
     0.02%  bt.B.x   libgomp.so.1.0.0      [.] 0x0000000000019379
     0.01%  bt.B.x   [kernel.kallsyms]     [k] entry_SYSCALL_64_fastpath
     0.01%  bt.B.x   [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore
     0.01%  bt.B.x   libc-2.26.so          [.] __profil_counter
     0.01%  bt.B.x   [kernel.kallsyms]     [k] __do_page_fault
