# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 199K of event 'cpu-clock'
# Event count (approx.): 49985250000
#
# Overhead  Command  Shared Object      Symbol                    
# ........  .......  .................  ..........................
#
    89.24%  cg.B.x   cg.B.x             [.] conj_grad_._omp_fn.0
     4.90%  cg.B.x   libgomp.so.1.0.0   [.] 0x0000000000019511
     4.14%  cg.B.x   cg.B.x             [.] sparse_
     0.29%  cg.B.x   libc-2.26.so       [.] __mcount_internal
     0.29%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64035bf
     0.21%  cg.B.x   libgomp.so.1.0.0   [.] 0x0000000000019513
     0.18%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb700006c
     0.15%  cg.B.x   libgomp.so.1.0.0   [.] 0x0000000000019515
     0.14%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64b008b
     0.05%  cg.B.x   libgomp.so.1.0.0   [.] 0x0000000000019379
     0.05%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6470752
     0.05%  cg.B.x   libc-2.26.so       [.] _mcount
     0.03%  cg.B.x   libgomp.so.1.0.0   [.] 0x0000000000019508
     0.03%  cg.B.x   cg.B.x             [.] MAIN__._omp_fn.5
     0.03%  cg.B.x   cg.B.x             [.] randlc_
     0.03%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6d0c397
     0.03%  cg.B.x   cg.B.x             [.] sprnvc_
     0.02%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6d1c605
     0.01%  cg.B.x   libc-2.26.so       [.] __profil_counter
     0.01%  cg.B.x   cg.B.x             [.] MAIN__._omp_fn.1
     0.01%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6e00185
     0.01%  cg.B.x   cg.B.x             [.] icnvrt_
     0.01%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c625e
     0.01%  cg.B.x   cg.B.x             [.] MAIN__._omp_fn.6
     0.01%  cg.B.x   libgomp.so.1.0.0   [.] GOMP_barrier
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c58ba
     0.00%  cg.B.x   cg.B.x             [.] makea_
     0.00%  cg.B.x   libgomp.so.1.0.0   [.] 0x000000000001937b
     0.00%  cg.B.x   libgomp.so.1.0.0   [.] 0x0000000000019633
     0.00%  cg.B.x   [e1000]            [k] e1000_alloc_rx_buffers
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb642c640
