# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 422K of event 'cpu-clock'
# Event count (approx.): 105559750000
#
# Overhead  Command  Shared Object         Symbol                                              
# ........  .......  ....................  ....................................................
#
    38.94%  sp.B.x   sp.B.x                [.] compute_rhs_._omp_fn.0
    17.80%  sp.B.x   sp.B.x                [.] z_solve_._omp_fn.0
    16.19%  sp.B.x   sp.B.x                [.] y_solve_._omp_fn.0
    13.89%  sp.B.x   sp.B.x                [.] x_solve_._omp_fn.0
     2.78%  sp.B.x   sp.B.x                [.] tzetar_._omp_fn.0
     2.23%  sp.B.x   sp.B.x                [.] add_._omp_fn.0
     2.21%  sp.B.x   sp.B.x                [.] txinvr_._omp_fn.0
     1.50%  sp.B.x   libgomp.so.1.0.0      [.] 0x0000000000019511
     1.31%  sp.B.x   sp.B.x                [.] ninvr_._omp_fn.0
     1.31%  sp.B.x   sp.B.x                [.] pinvr_._omp_fn.0
     0.35%  sp.B.x   libc-2.26.so          [.] __mcount_internal
     0.27%  sp.B.x   sp.B.x                [.] exact_solution_
     0.17%  sp.B.x   [kernel.kallsyms]     [k] __softirqentry_text_start
     0.15%  sp.B.x   [kernel.kallsyms]     [k] exit_to_usermode_loop
     0.15%  sp.B.x   [kernel.kallsyms]     [k] finish_task_switch
     0.11%  sp.B.x   sp.B.x                [.] exact_rhs_._omp_fn.0
     0.08%  sp.B.x   sp.B.x                [.] lhsinitj_
     0.08%  sp.B.x   sp.B.x                [.] lhsinit_
     0.06%  sp.B.x   libgomp.so.1.0.0      [.] 0x0000000000019379
     0.06%  sp.B.x   libgomp.so.1.0.0      [.] 0x0000000000019513
     0.05%  sp.B.x   sp.B.x                [.] initialize_._omp_fn.0
     0.05%  sp.B.x   libgomp.so.1.0.0      [.] 0x0000000000019515
     0.04%  sp.B.x   [kernel.kallsyms]     [k] entry_SYSCALL_64_fastpath
     0.03%  sp.B.x   libc-2.26.so          [.] _mcount
