# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 559K of event 'cpu-clock'
# Event count (approx.): 139767000000
#
# Overhead  Command  Shared Object         Symbol                                       
# ........  .......  ....................  .............................................
#
    30.53%  ua.B.x   ua.B.x                [.] laplacian_
    10.33%  ua.B.x   ua.B.x                [.] convect_._omp_fn.0
     9.18%  ua.B.x   libgomp.so.1.0.0      [.] omp_unset_lock
     8.91%  ua.B.x   libgomp.so.1.0.0      [.] omp_set_lock
     6.25%  ua.B.x   ua.B.x                [.] transfb_._omp_fn.2
     5.50%  ua.B.x   libm-2.26.so          [.] __cos_avx
     5.23%  ua.B.x   ua.B.x                [.] transf_._omp_fn.1
     4.01%  ua.B.x   ua.B.x                [.] adds2m1_._omp_fn.4
     2.92%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019511
     2.85%  ua.B.x   ua.B.x                [.] diffusion_._omp_fn.2
     2.47%  ua.B.x   ua.B.x                [.] diffusion_._omp_fn.5
     1.86%  ua.B.x   ua.B.x                [.] col2_._omp_fn.6
     1.77%  ua.B.x   libc-2.26.so          [.] __mcount_internal
     1.75%  ua.B.x   ua.B.x                [.] r_init_
     1.72%  ua.B.x   ua.B.x                [.] adds1m1_._omp_fn.5
     0.46%  ua.B.x   ua.B.x                [.] setuppc_._omp_fn.0
     0.43%  ua.B.x   libgomp.so.1.0.0      [.] omp_unset_lock_
     0.43%  ua.B.x   libgomp.so.1.0.0      [.] omp_set_lock_
     0.37%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019379
     0.33%  ua.B.x   ua.B.x                [.] diffusion_._omp_fn.1
     0.33%  ua.B.x   ua.B.x                [.] transfb_c_._omp_fn.3
     0.19%  ua.B.x   ua.B.x                [.] MAIN__._omp_fn.0
     0.18%  ua.B.x   libc-2.26.so          [.] _mcount
     0.18%  ua.B.x   ua.B.x                [.] omp_set_lock_@plt
     0.17%  ua.B.x   [kernel.kallsyms]     [k] __softirqentry_text_start
     0.15%  ua.B.x   ua.B.x                [.] add2_._omp_fn.7
     0.15%  ua.B.x   [kernel.kallsyms]     [k] finish_task_switch
     0.14%  ua.B.x   [kernel.kallsyms]     [k] exit_to_usermode_loop
     0.12%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019513
     0.10%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019515
     0.09%  ua.B.x   ua.B.x                [.] transfb_c_2_._omp_fn.4
     0.09%  ua.B.x   ua.B.x                [.] r_init_omp_._omp_fn.1
     0.09%  ua.B.x   ua.B.x                [.] omp_unset_lock_@plt
     0.07%  ua.B.x   ua.B.x                [.] nr_init_omp_._omp_fn.2
     0.07%  ua.B.x   ua.B.x                [.] diffusion_._omp_fn.4
     0.05%  ua.B.x   ua.B.x                [.] facev_
     0.04%  ua.B.x   ua.B.x                [.] copy_
     0.04%  ua.B.x   ua.B.x                [.] mortar_._omp_fn.5
     0.03%  ua.B.x   ua.B.x                [.] convect_._omp_fn.1
     0.03%  ua.B.x   ua.B.x                [.] diffusion_._omp_fn.0
     0.03%  ua.B.x   ua.B.x                [.] mor_edge_
     0.02%  ua.B.x   ua.B.x                [.] reciprocal_._omp_fn.0
     0.02%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019508
     0.02%  ua.B.x   ua.B.x                [.] mortar_vertex_
     0.01%  ua.B.x   ua.B.x                [.] diffusion_._omp_fn.3
     0.01%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000001937b
     0.01%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000001937d
     0.01%  ua.B.x   ua.B.x                [.] mortar_._omp_fn.6
     0.01%  ua.B.x   ua.B.x                [.] prepwork_._omp_fn.2
     0.01%  ua.B.x   [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore
     0.01%  ua.B.x   ua.B.x                [.] ifsame_
     0.01%  ua.B.x   [kernel.kallsyms]     [k] entry_SYSCALL_64_fastpath
     0.01%  ua.B.x   ua.B.x                [.] get_emo_
     0.01%  ua.B.x   ua.B.x                [.] iftouch_
     0.01%  ua.B.x   ua.B.x                [.] remap_
     0.01%  ua.B.x   ua.B.x                [.] edgecopy_s_
     0.01%  ua.B.x   libm-2.26.so          [.] __dubcos
     0.01%  ua.B.x   ua.B.x                [.] setpcmo_._omp_fn.4
     0.01%  ua.B.x   ua.B.x                [.] setuppc_._omp_fn.1
     0.01%  ua.B.x   ua.B.x                [.] move_._omp_fn.0
     0.01%  ua.B.x   ua.B.x                [.] ncopy_
     0.01%  ua.B.x   [kernel.kallsyms]     [k] __do_page_fault
     0.01%  ua.B.x   libm-2.26.so          [.] __dubsin
     0.01%  ua.B.x   ua.B.x                [.] mortar_._omp_fn.3
     0.01%  ua.B.x   ua.B.x                [.] parallel_add_._omp_fn.9
     0.01%  ua.B.x   ua.B.x                [.] MAIN__._omp_fn.1
     0.00%  ua.B.x   [kernel.kallsyms]     [k] futex_wake
     0.00%  ua.B.x   ua.B.x                [.] pc_corner_
     0.00%  ua.B.x   libc-2.26.so          [.] __profil_counter
     0.00%  ua.B.x   ua.B.x                [.] find_coarsen_._omp_fn.4
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __fpu__restore_sig
     0.00%  ua.B.x   ua.B.x                [.] do_coarsen_._omp_fn.1
     0.00%  ua.B.x   ua.B.x                [.] l_init_omp_._omp_fn.3
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] GOMP_parallel_end
     0.00%  ua.B.x   ua.B.x                [.] setpcmo_._omp_fn.3
     0.00%  ua.B.x   ua.B.x                [.] mor_assign_
     0.00%  ua.B.x   [kernel.kallsyms]     [k] clear_page_rep
     0.00%  ua.B.x   libc-2.26.so          [.] cfree@GLIBC_2.2.5
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019370
     0.00%  ua.B.x   libm-2.26.so          [.] __ieee754_log_avx
     0.00%  ua.B.x   ua.B.x                [.] mortar_._omp_fn.0
     0.00%  ua.B.x   [kernel.kallsyms]     [k] get_signal
     0.00%  ua.B.x   [kernel.kallsyms]     [k] update_sd_lb_stats
     0.00%  ua.B.x   ua.B.x                [.] com_dpc_
     0.00%  ua.B.x   ua.B.x                [.] mor_s_e_
     0.00%  ua.B.x   ua.B.x                [.] find_refine_._omp_fn.10
     0.00%  ua.B.x   [kernel.kallsyms]     [k] e1000_alloc_rx_buffers
     0.00%  ua.B.x   [kernel.kallsyms]     [k] get_futex_key
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] GOMP_parallel
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019653
     0.00%  ua.B.x   ua.B.x                [.] calc_norm_._omp_fn.8
