Benchmark, Flags, Energy, Time
mg.D.x,-O0,42973754855,208.687178
mg.D.x,-O0,43606083681,206.101254
mg.D.x,-O0,43623553301,207.46415
ft.B.x,-O0,1332134346,6.418817
ft.B.x,-O0,1324365506,6.420968
ft.B.x,-O0,1328812455,6.386923
bt.C.x,-O0,28186318346,154.020776
bt.C.x,-O0,27955301847,152.117861
bt.C.x,-O0,27994417103,153.328951
lu.B.x,-O0,6748644101,36.451097
lu.B.x,-O0,6743959969,36.33984
lu.B.x,-O0,6730773906,35.903628
sp.B.x,-O0,7088005414,36.867366
sp.B.x,-O0,7020063572,36.487624
sp.B.x,-O0,7096332419,36.84016
ep.D.x,-O0,34574727162,190.580715
ep.D.x,-O0,34572521968,191.487222
ep.D.x,-O0,34189458555,190.812781
ua.B.x,-O0,5168409986,28.413169
ua.B.x,-O0,5183636633,28.248456
ua.B.x,-O0,5224329582,28.345364
is.B.x,-O0,93274115,0.561866
is.B.x,-O0,93197881,0.562598
is.B.x,-O0,93141729,0.562406
cg.C.x,-O0,4087588718,20.93462
cg.C.x,-O0,4125426451,21.11646
cg.C.x,-O0,4158845372,21.293104
mg.D.x,-O1,18976000372,91.356981
mg.D.x,-O1,18999423224,91.698429
mg.D.x,-O1,19127249618,91.753193
ft.B.x,-O1,590286331,2.710796
ft.B.x,-O1,598338617,2.72759
ft.B.x,-O1,596940976,2.720362
bt.C.x,-O1,9084507322,46.585801
bt.C.x,-O1,9229582390,48.492398
bt.C.x,-O1,9142426303,47.458881
lu.B.x,-O1,1685753863,8.575786
lu.B.x,-O1,1692839112,8.675937
lu.B.x,-O1,1685380023,8.604261
sp.B.x,-O1,2349086942,11.512448
sp.B.x,-O1,2346660130,11.528735
sp.B.x,-O1,2534872417,12.811733
ep.D.x,-O1,28896556823,155.529866
ep.D.x,-O1,28848678100,155.424232
ep.D.x,-O1,28733238150,154.179643
ua.B.x,-O1,1881069342,10.232546
ua.B.x,-O1,1845879979,10.047959
ua.B.x,-O1,1901671401,10.352856
is.B.x,-O1,61752405,0.38589
is.B.x,-O1,61644984,0.38557
is.B.x,-O1,61247768,0.383677
cg.C.x,-O1,3142950267,16.880382
cg.C.x,-O1,3160619533,16.987229
cg.C.x,-O1,3240232001,17.629317
mg.D.x,-O2,18464551424,95.488459
mg.D.x,-O2,18649551683,96.406087
mg.D.x,-O2,18676046305,96.24405
ft.B.x,-O2,540595357,2.583216
ft.B.x,-O2,542963026,2.583439
ft.B.x,-O2,542007341,2.555849
bt.C.x,-O2,9237988009,48.565547
bt.C.x,-O2,9195686297,48.822012
bt.C.x,-O2,9143956694,48.247084
lu.B.x,-O2,1687028274,8.674446
lu.B.x,-O2,1638804276,8.375502
lu.B.x,-O2,1634663968,8.309033
sp.B.x,-O2,2261001537,11.216942
sp.B.x,-O2,2248324322,11.129289
sp.B.x,-O2,2250798620,11.095692
ep.D.x,-O2,27900735582,150.04409
ep.D.x,-O2,27784764198,149.919315
ep.D.x,-O2,27756729480,150.033885
ua.B.x,-O2,1829032854,10.061767
ua.B.x,-O2,1864381641,10.258706
ua.B.x,-O2,1833472296,10.060021
is.B.x,-O2,60858120,0.382155
is.B.x,-O2,60779752,0.382246
is.B.x,-O2,60380400,0.380295
cg.C.x,-O2,3052231018,16.202676
cg.C.x,-O2,2994028468,15.773541
cg.C.x,-O2,3045751358,16.099365
mg.D.x,-O3,18023627259,93.700392
mg.D.x,-O3,18329620373,94.749481
mg.D.x,-O3,18304938980,95.437774
ft.B.x,-O3,540606832,2.584644
ft.B.x,-O3,544650765,2.577556
ft.B.x,-O3,547224124,2.598207
bt.C.x,-O3,9951485754,52.732865
bt.C.x,-O3,9792480730,52.130873
bt.C.x,-O3,9925300030,53.542106
lu.B.x,-O3,1590503924,8.191259
lu.B.x,-O3,1582155923,8.118139
lu.B.x,-O3,1545300305,7.892326
sp.B.x,-O3,2186963335,10.957493
sp.B.x,-O3,2268703787,11.471338
sp.B.x,-O3,2258433976,11.332643
ep.D.x,-O3,27877623029,149.766449
ep.D.x,-O3,27721045306,149.671707
ep.D.x,-O3,27558076667,147.537194
ua.B.x,-O3,1628844097,9.143203
ua.B.x,-O3,1632332064,9.158944
ua.B.x,-O3,1636419212,9.197549
is.B.x,-O3,61085904,0.384297
is.B.x,-O3,60808500,0.382846
is.B.x,-O3,60827481,0.382626
cg.C.x,-O3,3096754219,16.550311
cg.C.x,-O3,2991093234,15.763453
cg.C.x,-O3,3041346401,16.053323
