Benchmark, Flags, Energy, Time, Success
mg.D.x,-O0,40060022202,206.631482,true
mg.D.x,-O0,40895133224,208.96615,true
mg.D.x,-O0,40753768046,207.854686,true
ft.B.x,-O0,1287934996,6.727628,true
ft.B.x,-O0,1282862683,6.711859,true
ft.B.x,-O0,1283362254,6.624565,true
bt.C.x,-O0,544127,0.005636,false
bt.C.x,-O0,438231,0.004554,false
bt.C.x,-O0,455442,0.004455,false
lu.B.x,-O0,376342,0.003922,false
lu.B.x,-O0,280700,0.003131,false
lu.B.x,-O0,275146,0.003201,false
sp.B.x,-O0,1878780,0.020649,false
sp.B.x,-O0,1817012,0.020012,false
sp.B.x,-O0,15777669,0.190402,false
ep.D.x,-O0,32461735258,190.655119,false
ep.D.x,-O0,32512451253,191.350885,false
ep.D.x,-O0,32250915303,191.004944,false
ua.B.x,-O0,714293,0.006931,false
ua.B.x,-O0,455932,0.004663,false
ua.B.x,-O0,448179,0.004502,false
is.B.x,-O0,84314848,0.555576,true
is.B.x,-O0,84728604,0.556543,true
is.B.x,-O0,84682339,0.554981,true
cg.C.x,-O0,2162166,0.024631,false
cg.C.x,-O0,13238918,0.155202,false
cg.C.x,-O0,284118,0.003537,false
mg.D.x,-O1,17869517852,93.961473,true
mg.D.x,-O1,17701166050,91.74404,true
mg.D.x,-O1,18014609217,94.620797,true
ft.B.x,-O1,552836109,2.751707,true
ft.B.x,-O1,547983216,2.666436,true
ft.B.x,-O1,549476316,2.696513,true
bt.C.x,-O1,8576607378,47.797794,true
bt.C.x,-O1,8520420693,47.792829,true
bt.C.x,-O1,8513597651,47.331692,true
lu.B.x,-O1,1586976040,8.646021,true
lu.B.x,-O1,1529496939,8.14989,true
lu.B.x,-O1,1613851947,8.827594,true
sp.B.x,-O1,2490743196,13.628776,true
sp.B.x,-O1,2171972649,11.382318,true
sp.B.x,-O1,2100567499,10.922917,true
ep.D.x,-O1,27100512654,155.638498,false
ep.D.x,-O1,26878047160,154.483265,false
ep.D.x,-O1,26839750748,154.794701,false
ua.B.x,-O1,1750330602,10.315746,true
ua.B.x,-O1,1732621236,10.081804,true
ua.B.x,-O1,1736454967,10.095363,true
is.B.x,-O1,55983194,0.377593,true
is.B.x,-O1,56293069,0.379821,true
is.B.x,-O1,56403909,0.380406,true
cg.C.x,-O1,2892352764,16.344143,true
cg.C.x,-O1,2840486747,15.97622,true
cg.C.x,-O1,2905496652,16.398738,true
mg.D.x,-O2,17105468356,93.564095,true
mg.D.x,-O2,17300716270,93.599184,true
mg.D.x,-O2,17404740539,94.312312,true
ft.B.x,-O2,516214622,2.614708,true
ft.B.x,-O2,510996678,2.555061,true
ft.B.x,-O2,516466085,2.590651,true
bt.C.x,-O2,8324677664,46.236593,true
bt.C.x,-O2,8265752032,45.943715,true
bt.C.x,-O2,8122572162,44.809939,true
lu.B.x,-O2,1626926926,8.984928,true
lu.B.x,-O2,1563944605,8.519637,true
lu.B.x,-O2,1608225620,8.859903,true
sp.B.x,-O2,2123448055,11.239007,true
sp.B.x,-O2,2220503837,11.8393,true
sp.B.x,-O2,2140007094,11.302176,true
ep.D.x,-O2,26015238820,149.981843,false
ep.D.x,-O2,25927443757,149.691098,false
ep.D.x,-O2,25776576102,149.784569,false
ua.B.x,-O2,1705261626,9.97541,true
ua.B.x,-O2,1687846814,9.864955,true
ua.B.x,-O2,1653220194,9.65059,true
is.B.x,-O2,55994851,0.379425,true
is.B.x,-O2,56060954,0.38012,true
is.B.x,-O2,55680765,0.377837,true
cg.C.x,-O2,2862185910,16.247276,true
cg.C.x,-O2,2834731147,16.040373,true
cg.C.x,-O2,2890621445,16.407418,true
mg.D.x,-O3,16368840664,88.832885,true
mg.D.x,-O3,16467132160,89.867204,true
mg.D.x,-O3,16261755061,87.343391,true
ft.B.x,-O3,511031101,2.600302,true
ft.B.x,-O3,508613688,2.578472,true
ft.B.x,-O3,512634553,2.590266,true
bt.C.x,-O3,9102923962,51.954958,true
bt.C.x,-O3,8987515078,51.329671,true
bt.C.x,-O3,9164857214,53.448941,true
lu.B.x,-O3,1530571887,8.547223,true
lu.B.x,-O3,1482238882,8.102301,true
lu.B.x,-O3,1511229042,8.389868,true
sp.B.x,-O3,2027726865,10.821987,true
sp.B.x,-O3,2137287314,11.616071,true
sp.B.x,-O3,2193970276,11.920141,true
ep.D.x,-O3,25883309592,150.430011,false
ep.D.x,-O3,25982174025,149.667601,false
ep.D.x,-O3,25989655939,150.027715,false
ua.B.x,-O3,1466410004,8.761716,true
ua.B.x,-O3,1499388191,8.967782,true
ua.B.x,-O3,1499688666,8.99591,true
is.B.x,-O3,56916968,0.386544,true
is.B.x,-O3,56693215,0.385275,true
is.B.x,-O3,56596047,0.385333,true
cg.C.x,-O3,2853019185,16.121123,true
cg.C.x,-O3,2848880647,16.084272,true
cg.C.x,-O3,2829722614,15.915595,true
