Benchmark,Flags,Energy,Time,Success
sp.C.x,-O1,14744403899,69.32986,true
sp.C.x,-O1,15081649517,70.312566,true
sp.C.x,-O1,15165411509,70.794782,true
ua.C.x,-O1,9474904372,45.293977,true
ua.C.x,-O1,9560145267,45.631698,true
ua.C.x,-O1,9529729978,45.555517,true
is.C.x,-O1,271510802,1.567776,true
is.C.x,-O1,271267416,1.57614,true
is.C.x,-O1,269909863,1.566349,true
ep.C.x,-O1,1935539323,10.170355,true
ep.C.x,-O1,1930271657,10.126943,true
ep.C.x,-O1,1935143959,10.148938,true
bt.C.x,-O1,9722874888,47.000051,true
bt.C.x,-O1,9766729340,47.275967,true
bt.C.x,-O1,9814161132,47.842968,true
ft.C.x,-O1,2939487644,12.505118,true
ft.C.x,-O1,2946130566,12.479718,true
ft.C.x,-O1,2957155375,12.599458,true
mg.C.x,-O1,1202774953,5.225453,true
mg.C.x,-O1,1198955725,5.198483,true
mg.C.x,-O1,1200929585,5.216683,true
cg.C.x,-O1,3481443280,16.389204,true
cg.C.x,-O1,3423913051,16.06374,true
cg.C.x,-O1,3455122705,16.239115,true
lu.C.x,-O1,7617153213,35.62025,true
lu.C.x,-O1,7899726534,37.559312,true
lu.C.x,-O1,7746412649,36.573753,true
sp.C.x,-O2,15366385481,72.085293,true
sp.C.x,-O2,15387149583,71.852915,true
sp.C.x,-O2,15450441129,72.131786,true
ua.C.x,-O2,9178385571,43.474605,true
ua.C.x,-O2,9197718145,43.561474,true
ua.C.x,-O2,9225391654,43.748883,true
is.C.x,-O2,272352596,1.582015,true
is.C.x,-O2,271252939,1.580342,true
is.C.x,-O2,269735206,1.568803,true
ep.C.x,-O2,1877895887,9.851983,true
ep.C.x,-O2,1879456724,9.867261,true
ep.C.x,-O2,1876821445,9.851505,true
bt.C.x,-O2,9588892941,46.650674,true
bt.C.x,-O2,9683074289,47.919265,true
bt.C.x,-O2,9518626036,46.288659,true
ft.C.x,-O2,2779432312,12.010083,true
ft.C.x,-O2,2761466078,11.891708,true
ft.C.x,-O2,2766624848,11.906706,true
mg.C.x,-O2,1177348840,5.295792,true
mg.C.x,-O2,1170337509,5.24045,true
mg.C.x,-O2,1161617955,5.144612,true
cg.C.x,-O2,3448735017,16.274273,true
cg.C.x,-O2,3406948689,16.005135,true
cg.C.x,-O2,3435410111,16.159455,true
lu.C.x,-O2,7758802653,36.95159,true
lu.C.x,-O2,7694727286,36.609833,true
lu.C.x,-O2,7792080797,37.234189,true
sp.C.x,-O3,15181896745,71.763589,true
sp.C.x,-O3,15273271128,71.993548,true
sp.C.x,-O3,15303779021,71.875439,true
ua.C.x,-O3,8362984622,40.279728,true
ua.C.x,-O3,8407023841,40.50463,true
ua.C.x,-O3,8336823080,40.018054,true
is.C.x,-O3,271075207,1.579626,true
is.C.x,-O3,270214894,1.57498,true
is.C.x,-O3,270858008,1.582977,true
ep.C.x,-O3,1868495852,9.846735,true
ep.C.x,-O3,1874051248,9.863722,true
ep.C.x,-O3,1871738110,9.817797,true
bt.C.x,-O3,10552129068,53.308826,true
bt.C.x,-O3,10541679686,53.343568,true
bt.C.x,-O3,10562072629,53.37849,true
ft.C.x,-O3,2747977633,11.91292,true
ft.C.x,-O3,2732696266,11.824176,true
ft.C.x,-O3,2764181126,12.05931,true
mg.C.x,-O3,1132496848,5.134637,true
mg.C.x,-O3,1129446761,5.119469,true
mg.C.x,-O3,1127822424,5.10546,true
cg.C.x,-O3,3435955099,16.144439,true
cg.C.x,-O3,3466725453,16.337577,true
cg.C.x,-O3,3438818035,16.179669,true
lu.C.x,-O3,7167567320,33.518079,true
lu.C.x,-O3,7335959788,34.71941,true
lu.C.x,-O3,7285146288,34.496016,true
