Benchmark,Flags,Energy,Time,Success
mg.D.x,-O1,21590484915,86.662952,True
mg.D.x,-O1,21908239300,87.437759,True
mg.D.x,-O1,22052157452,87.14036,True
mg.D.x,-O1,22073863685,87.206691,True
mg.D.x,-O1,21977395976,86.671233,True
mg.D.x,-O1,22405207242,89.852145,True
mg.D.x,-O1,22166560571,87.546636,True
mg.D.x,-O1,22188792428,87.850053,True
mg.D.x,-O1,22213062492,87.851594,True
mg.D.x,-O1,22094063910,87.110264,True
sp.C.x,-O1,16110112720,68.182447,True
sp.C.x,-O1,15729126496,67.905543,True
sp.C.x,-O1,15864672581,67.21122,True
sp.C.x,-O1,15641611082,65.846608,True
sp.C.x,-O1,16108774978,69.202076,True
sp.C.x,-O1,15943772920,67.434969,True
sp.C.x,-O1,15639933109,68.225493,True
sp.C.x,-O1,16065401221,68.402832,True
sp.C.x,-O1,15643318719,66.538428,True
sp.C.x,-O1,15456442666,66.784118,True
ua.C.x,-O1,9987102255,45.339053,True
ua.C.x,-O1,9838059626,44.653276,True
ua.C.x,-O1,9962924675,45.407158,True
ua.C.x,-O1,9809245529,44.679321,True
ua.C.x,-O1,9986346005,45.552605,True
ua.C.x,-O1,9797030260,44.460739,True
ua.C.x,-O1,9960026159,45.386783,True
ua.C.x,-O1,9937561303,45.293932,True
ua.C.x,-O1,9977454202,45.400511,True
ua.C.x,-O1,9780936093,44.454674,True
bt.C.x,-O1,9493461850,41.337095,True
bt.C.x,-O1,9641604568,42.463232,True
bt.C.x,-O1,9534710317,41.504004,True
bt.C.x,-O1,9608309299,41.679703,True
bt.C.x,-O1,9521195170,41.268621,True
bt.C.x,-O1,9718190188,42.415038,True
bt.C.x,-O1,9535919190,41.386794,True
bt.C.x,-O1,9550181090,41.47124,True
bt.C.x,-O1,9507403575,41.355731,True
bt.C.x,-O1,9530859847,41.859534,True
ft.C.x,-O1,2908526843,11.540779,True
ft.C.x,-O1,2900007281,11.396109,True
ft.C.x,-O1,2916336171,11.433299,True
ft.C.x,-O1,2920131267,11.443338,True
ft.C.x,-O1,2918542773,11.454842,True
ft.C.x,-O1,2904821840,11.40371,True
ft.C.x,-O1,2909848191,11.479288,True
ft.C.x,-O1,2912360664,11.493482,True
ft.C.x,-O1,2924584335,11.542961,True
ft.C.x,-O1,2908335884,11.438482,True
is.D.x,-O1,7469652832,40.547913,True
is.D.x,-O1,7416241100,40.51701,True
is.D.x,-O1,7391821345,40.490602,True
is.D.x,-O1,7372327180,40.722787,True
is.D.x,-O1,7393475220,40.623573,True
is.D.x,-O1,7383982382,40.738807,True
is.D.x,-O1,7326563574,40.349788,True
is.D.x,-O1,7340539011,40.542724,True
is.D.x,-O1,7320458019,40.448907,True
is.D.x,-O1,7327726602,40.401353,True
ep.D.x,-O1,26466917267,129.759388,True
ep.D.x,-O1,26586968248,129.873059,True
ep.D.x,-O1,26603842697,129.738871,True
ep.D.x,-O1,26529194973,129.868242,True
ep.D.x,-O1,26591534965,129.758947,True
ep.D.x,-O1,26584580670,129.695273,True
ep.D.x,-O1,26596490142,129.976573,True
ep.D.x,-O1,26582084349,129.909676,True
ep.D.x,-O1,26546264865,129.756067,True
ep.D.x,-O1,26520354288,129.626468,True
cg.C.x,-O1,3361048980,15.314073,True
cg.C.x,-O1,3352858065,15.231806,True
cg.C.x,-O1,3298727109,14.92877,True
cg.C.x,-O1,3309016124,14.99694,True
cg.C.x,-O1,3332542600,15.134718,True
cg.C.x,-O1,3323761050,15.090108,True
cg.C.x,-O1,3352216828,15.244609,True
cg.C.x,-O1,3383907188,15.492976,True
cg.C.x,-O1,3319900496,15.056818,True
cg.C.x,-O1,3334149463,15.146717,True
lu.C.x,-O1,7280784262,31.67486,True
lu.C.x,-O1,7345696034,31.863166,True
lu.C.x,-O1,7535897002,33.186299,True
lu.C.x,-O1,7036359720,30.04944,True
lu.C.x,-O1,7088375369,30.329521,True
lu.C.x,-O1,7572014651,33.345326,True
lu.C.x,-O1,7159132128,30.459167,True
lu.C.x,-O1,7471382866,32.668262,True
lu.C.x,-O1,7237819205,31.063968,True
lu.C.x,-O1,7194361377,30.717652,True
mg.D.x,-O2,21165415863,86.219532,True
mg.D.x,-O2,21564542333,87.929002,True
mg.D.x,-O2,21368635429,86.582428,True
mg.D.x,-O2,21409072336,86.750123,True
mg.D.x,-O2,21477088546,87.103744,True
mg.D.x,-O2,21573246782,87.17861,True
mg.D.x,-O2,21712518339,88.429652,True
mg.D.x,-O2,21512455560,87.445883,True
mg.D.x,-O2,21453841729,86.829868,True
mg.D.x,-O2,21500030244,87.515097,True
sp.C.x,-O2,15914323322,69.531802,True
sp.C.x,-O2,16163645608,69.260734,True
sp.C.x,-O2,16228928377,70.13239,True
sp.C.x,-O2,16237858892,70.11028,True
sp.C.x,-O2,16177845518,69.336966,True
sp.C.x,-O2,15458329743,66.624896,True
sp.C.x,-O2,16242324326,69.683261,True
sp.C.x,-O2,16175233110,69.648498,True
sp.C.x,-O2,15794973142,67.438479,True
sp.C.x,-O2,16286867450,70.396969,True
ua.C.x,-O2,9842334266,44.967567,True
ua.C.x,-O2,9783887121,44.490576,True
ua.C.x,-O2,9780332793,44.562212,True
ua.C.x,-O2,10084106160,46.135361,True
ua.C.x,-O2,10051762896,45.943622,True
ua.C.x,-O2,9976519293,45.525374,True
ua.C.x,-O2,9902075282,45.316615,True
ua.C.x,-O2,10176840038,46.970342,True
ua.C.x,-O2,9804219707,44.765121,True
ua.C.x,-O2,10027761673,45.765098,True
bt.C.x,-O2,9326588003,41.328801,True
bt.C.x,-O2,9293791790,40.550418,True
bt.C.x,-O2,9265018201,40.33171,True
bt.C.x,-O2,9331975301,40.954626,True
bt.C.x,-O2,9346822303,40.935199,True
bt.C.x,-O2,9300942753,40.565823,True
bt.C.x,-O2,9274895975,40.419689,True
bt.C.x,-O2,9394211922,41.293743,True
bt.C.x,-O2,9432951311,41.604445,True
bt.C.x,-O2,9268689969,40.247455,True
ft.C.x,-O2,2739936612,11.138474,True
ft.C.x,-O2,2729631821,11.019057,True
ft.C.x,-O2,2733973303,11.002,True
ft.C.x,-O2,2766986916,11.183955,True
ft.C.x,-O2,2751520091,11.088198,True
ft.C.x,-O2,2754728043,11.080116,True
ft.C.x,-O2,2771229351,11.191433,True
ft.C.x,-O2,2766416001,11.117651,True
ft.C.x,-O2,2752224103,11.040087,True
ft.C.x,-O2,2750469653,11.096549,True
is.D.x,-O2,7473075548,40.517858,True
is.D.x,-O2,7390573885,40.473884,True
is.D.x,-O2,7434998653,40.921049,True
is.D.x,-O2,7368809962,40.532775,True
is.D.x,-O2,7374508460,40.5496,True
is.D.x,-O2,7332015269,40.594072,True
is.D.x,-O2,7360249841,40.673284,True
is.D.x,-O2,7327956232,40.456098,True
is.D.x,-O2,7330050538,40.473334,True
is.D.x,-O2,7353738138,40.653489,True
ep.D.x,-O2,25559303584,125.458769,True
ep.D.x,-O2,25646117466,125.410091,True
ep.D.x,-O2,25717527681,125.651026,True
ep.D.x,-O2,25709972724,125.473627,True
ep.D.x,-O2,25659676098,125.370147,True
ep.D.x,-O2,25647363508,125.380746,True
ep.D.x,-O2,25707500775,125.642455,True
ep.D.x,-O2,25683720582,125.452827,True
ep.D.x,-O2,25679862702,125.441939,True
ep.D.x,-O2,25665422229,125.499973,True
cg.C.x,-O2,3288107779,14.848529,True
cg.C.x,-O2,3306752480,14.986598,True
cg.C.x,-O2,3295718192,14.906338,True
cg.C.x,-O2,3292172401,14.883386,True
cg.C.x,-O2,3260033502,14.68039,True
cg.C.x,-O2,3300016670,14.9402,True
cg.C.x,-O2,3283828052,14.849834,True
cg.C.x,-O2,3352007447,15.270024,True
cg.C.x,-O2,3310069641,15.028812,True
cg.C.x,-O2,3335062161,15.173524,True
lu.C.x,-O2,7071179629,30.614041,True
lu.C.x,-O2,7435635465,32.996221,True
lu.C.x,-O2,7534675250,33.665299,True
lu.C.x,-O2,7641375594,34.407034,True
lu.C.x,-O2,7361183401,32.45336,True
lu.C.x,-O2,7107309019,30.74164,True
lu.C.x,-O2,7162596532,31.000349,True
lu.C.x,-O2,7371733251,32.430884,True
lu.C.x,-O2,7280646857,31.712727,True
lu.C.x,-O2,7229194405,31.553749,True
mg.D.x,-O3,20819990201,87.057999,True
mg.D.x,-O3,20877302937,86.621037,True
mg.D.x,-O3,20951255545,87.103429,True
mg.D.x,-O3,20880329855,86.80569,True
mg.D.x,-O3,20890251814,86.551881,True
mg.D.x,-O3,21058864511,87.209863,True
mg.D.x,-O3,20957003599,87.303145,True
mg.D.x,-O3,20980758458,87.163644,True
mg.D.x,-O3,21373203254,89.473302,True
mg.D.x,-O3,21027029333,87.755787,True
sp.C.x,-O3,15901489950,69.103994,True
sp.C.x,-O3,16201264934,70.707398,True
sp.C.x,-O3,16223459332,70.704242,True
sp.C.x,-O3,16086645679,70.171661,True
sp.C.x,-O3,16065044605,70.174362,True
sp.C.x,-O3,16203236217,70.779143,True
sp.C.x,-O3,16037975159,70.015877,True
sp.C.x,-O3,16263509519,70.991113,True
sp.C.x,-O3,15813101451,68.588849,True
sp.C.x,-O3,16088201129,69.944981,True
ua.C.x,-O3,9183685362,42.638004,True
ua.C.x,-O3,9293079362,43.270451,True
ua.C.x,-O3,9137342701,42.466333,True
ua.C.x,-O3,9209500437,42.943501,True
ua.C.x,-O3,9026731506,41.602923,True
ua.C.x,-O3,9132072967,42.362005,True
ua.C.x,-O3,9276975212,43.11107,True
ua.C.x,-O3,9017739664,41.549114,True
ua.C.x,-O3,9372061402,43.571669,True
ua.C.x,-O3,8922678798,41.126755,True
bt.C.x,-O3,10124973218,46.476658,True
bt.C.x,-O3,10131902946,46.209452,True
bt.C.x,-O3,10203289943,46.322602,True
bt.C.x,-O3,10163332088,46.171032,True
bt.C.x,-O3,10053979589,45.459026,True
bt.C.x,-O3,10228787294,46.479493,True
bt.C.x,-O3,10269904989,46.674681,True
bt.C.x,-O3,10249182272,46.458848,True
bt.C.x,-O3,10211390290,46.375053,True
bt.C.x,-O3,10169595098,46.191074,True
ft.C.x,-O3,2695562401,10.867711,True
ft.C.x,-O3,2713501740,10.96967,True
ft.C.x,-O3,2710950859,10.9928,True
ft.C.x,-O3,2707316797,10.903757,True
ft.C.x,-O3,2724186640,11.041582,True
ft.C.x,-O3,2724218179,11.050749,True
ft.C.x,-O3,2724794325,11.06023,True
ft.C.x,-O3,2710897973,10.965248,True
ft.C.x,-O3,2723378365,10.999274,True
ft.C.x,-O3,2719993828,10.9156,True
is.D.x,-O3,7457358578,40.497389,True
is.D.x,-O3,7408036030,40.62064,True
is.D.x,-O3,7363029094,40.420426,True
is.D.x,-O3,7387194418,40.607023,True
is.D.x,-O3,7340755582,40.456902,True
is.D.x,-O3,7336663035,40.426126,True
is.D.x,-O3,7341641445,40.472607,True
is.D.x,-O3,7304212311,40.359042,True
is.D.x,-O3,7326376404,40.487715,True
is.D.x,-O3,7305206715,40.29863,True
ep.D.x,-O3,25512182816,125.383854,True
ep.D.x,-O3,25584657448,125.276024,True
ep.D.x,-O3,25674582631,125.405743,True
ep.D.x,-O3,25614437530,125.219092,True
ep.D.x,-O3,25585337512,125.263563,True
ep.D.x,-O3,25644409099,125.316806,True
ep.D.x,-O3,25605033001,125.635055,True
ep.D.x,-O3,25653025231,125.212492,True
ep.D.x,-O3,25606055238,125.260337,True
ep.D.x,-O3,25627575886,125.238746,True
cg.C.x,-O3,3316259889,15.01915,True
cg.C.x,-O3,3365543479,15.344454,True
cg.C.x,-O3,3317708320,15.018187,True
cg.C.x,-O3,3288502583,14.83293,True
cg.C.x,-O3,3316492739,15.014562,True
cg.C.x,-O3,3291234954,14.88242,True
cg.C.x,-O3,3295542143,14.909197,True
cg.C.x,-O3,3331071470,15.127762,True
cg.C.x,-O3,3313026535,15.026813,True
cg.C.x,-O3,3279341494,14.812625,True
lu.C.x,-O3,7169826442,31.976732,True
lu.C.x,-O3,6821049669,29.612737,True
lu.C.x,-O3,7188290700,31.87854,True
lu.C.x,-O3,7149686872,31.799733,True
lu.C.x,-O3,6842821476,29.694775,True
lu.C.x,-O3,7173899343,31.678154,True
lu.C.x,-O3,6946109278,30.361585,True
lu.C.x,-O3,7333085069,33.00848,True
lu.C.x,-O3,7033385164,31.019688,True
lu.C.x,-O3,7074875892,31.268473,True
