Benchmark,Flags,Energy,Time,Success
tpacf,-O1,2413345962,18.831441,True
tpacf,-O1,1988058410,13.453994,True
tpacf,-O1,2101065103,14.228769,True
tpacf,-O1,2234291699,15.029221,True
tpacf,-O1,2167706107,14.542469,True
tpacf,-O1,2157819844,14.466472,True
tpacf,-O1,2174940860,14.587704,True
tpacf,-O1,2173461468,14.556369,True
tpacf,-O1,2090961021,13.955525,True
tpacf,-O1,2187127932,14.627762,True
stencil,-O1,1213509845,8.019874,True
stencil,-O1,1121332985,7.209764,True
stencil,-O1,1179411783,7.638982,True
stencil,-O1,1133427008,7.250204,True
stencil,-O1,1145934381,7.381256,True
stencil,-O1,1177451531,7.578692,True
stencil,-O1,1258507754,8.478838,True
stencil,-O1,1284593520,8.434678,True
stencil,-O1,1247591692,8.192735,True
stencil,-O1,1171829554,7.641645,True
lbm,-O1,7393515058,33.756559,True
lbm,-O1,7401023813,33.690397,True
lbm,-O1,7368021929,33.33206,True
lbm,-O1,7354319200,33.278909,True
lbm,-O1,7482156670,33.931782,True
lbm,-O1,7435672701,33.679818,True
lbm,-O1,7506994603,34.060419,True
lbm,-O1,7496554763,34.095066,True
lbm,-O1,7421043004,33.45558,True
lbm,-O1,7544206615,34.136922,True
bfs,-O1,1880442174,14.11261,True
bfs,-O1,1991601665,14.561793,True
bfs,-O1,1892959469,14.028177,True
bfs,-O1,1791452080,13.369522,True
bfs,-O1,1879337688,14.023748,True
bfs,-O1,1876096228,14.172618,True
bfs,-O1,1854284699,13.789374,True
bfs,-O1,1919385374,14.188855,True
bfs,-O1,1877732279,13.99073,True
bfs,-O1,1887030016,14.051052,True
histo,-O1,3558294493,25.984805,True
histo,-O1,4051902262,28.757899,True
histo,-O1,3033158760,23.268073,True
histo,-O1,3770321378,26.982323,True
histo,-O1,4094150265,28.973741,True
histo,-O1,4172982435,29.623019,True
histo,-O1,4224044864,29.962284,True
histo,-O1,2981626788,22.986546,True
histo,-O1,3843098794,27.349004,True
histo,-O1,3925055730,28.06026,True
mri-gridding,-O1,7640877339,52.923418,True
mri-gridding,-O1,8368082655,57.772108,True
mri-gridding,-O1,8819786570,61.05563,True
mri-gridding,-O1,8848886655,61.043922,True
mri-gridding,-O1,8228127073,57.165705,True
mri-gridding,-O1,8179357164,56.427174,True
mri-gridding,-O1,8469358091,58.816805,True
mri-gridding,-O1,8639184269,59.94567,True
mri-gridding,-O1,8218073600,56.842769,True
mri-gridding,-O1,8689219888,60.255844,True
tpacf,-O2,1885365443,12.537872,True
tpacf,-O2,1968726256,13.112314,True
tpacf,-O2,1991527757,13.27949,True
tpacf,-O2,2011473455,13.407605,True
tpacf,-O2,1930556763,12.829316,True
tpacf,-O2,2006372340,13.354535,True
tpacf,-O2,1935255193,12.923418,True
tpacf,-O2,1908102487,12.657554,True
tpacf,-O2,2019365093,13.45892,True
tpacf,-O2,1940021054,12.908521,True
stencil,-O2,1122195413,7.219195,True
stencil,-O2,1128603182,7.097705,True
stencil,-O2,1197086228,7.773887,True
stencil,-O2,1251842808,8.245375,True
stencil,-O2,1344660361,8.846941,True
stencil,-O2,1348912962,8.85106,True
stencil,-O2,1200790117,7.775188,True
stencil,-O2,1222648712,7.818,True
stencil,-O2,1275376333,8.375594,True
stencil,-O2,1219400694,7.901402,True
lbm,-O2,7336400410,34.311618,True
lbm,-O2,7352140653,34.094781,True
lbm,-O2,7353499399,34.08123,True
lbm,-O2,7292117556,33.574341,True
lbm,-O2,7327540483,33.665957,True
lbm,-O2,7424304963,34.287098,True
lbm,-O2,7367498893,33.993317,True
lbm,-O2,7422148950,34.15798,True
