Benchmark,Flags,Energy,Time,Success
kdtree,-O1,647787227,4.606987,True
kdtree,-O1,650308054,4.534117,True
kdtree,-O1,645051389,4.484603,True
fma3d,-O1,1349344547,9.24917,True
fma3d,-O1,1261254240,8.856906,True
fma3d,-O1,1277988803,8.903792,True
md,-O1,59481870460,329.023409,True
md,-O1,59521118566,328.457716,True
md,-O1,59620002402,328.865459,True
ilbdc,-O1,68843998309,399.595533,True
ilbdc,-O1,58194916475,329.272106,True
ilbdc,-O1,57726130756,325.905414,True
imagick,-O1,872617556,4.307754,False
imagick,-O1,872578423,4.27351,False
imagick,-O1,872067850,4.276224,False
swim,-O1,995334398,4.180267,True
swim,-O1,1001618971,4.210033,True
swim,-O1,1001878603,4.206453,True
nab,-O1,452150,0.006402,False
nab,-O1,396448,0.004893,False
nab,-O1,398374,0.004662,False
botsalgn,-O1,135031220,0.683677,True
botsalgn,-O1,134873159,0.673756,True
botsalgn,-O1,135074631,0.673391,True
smithwa,-O1,170281182,0.825543,True
smithwa,-O1,170715233,0.819385,True
smithwa,-O1,172371472,0.826346,True
botsspar,-O1,137138504,0.830355,True
botsspar,-O1,143720117,0.880559,True
botsspar,-O1,143974876,0.882354,True
bwaves,-O1,2197909092,15.108058,True
bwaves,-O1,2196140982,15.15028,True
bwaves,-O1,2185331238,15.103987,True
kdtree,-O2,637579002,4.259603,True
kdtree,-O2,642189581,4.353113,True
kdtree,-O2,643282764,4.264395,True
fma3d,-O2,1350495402,8.989066,True
fma3d,-O2,1213901267,8.505188,True
fma3d,-O2,1243045811,8.662836,True
md,-O2,58149719741,323.001578,True
md,-O2,58177373312,322.706695,True
md,-O2,58232064641,323.06838,True
ilbdc,-O2,56517933357,317.682736,True
ilbdc,-O2,58115297721,328.802268,True
ilbdc,-O2,70006629777,407.280598,True
imagick,-O2,868009556,4.273872,False
imagick,-O2,867583228,4.265049,False
imagick,-O2,869673841,4.271131,False
swim,-O2,971093847,4.154091,True
swim,-O2,972189979,4.170649,True
swim,-O2,976390297,4.174783,True
nab,-O2,485209,0.006219,False
nab,-O2,355839,0.004527,False
nab,-O2,390773,0.00505,False
botsalgn,-O2,105955405,0.546064,True
botsalgn,-O2,105323034,0.546517,True
botsalgn,-O2,106479473,0.54581,True
smithwa,-O2,140489935,0.693879,True
smithwa,-O2,140770668,0.682901,True
smithwa,-O2,140607978,0.684784,True
botsspar,-O2,150906971,0.940697,True
botsspar,-O2,147490251,0.910532,True
botsspar,-O2,151035235,0.943055,True
bwaves,-O2,2184146131,15.104469,True
bwaves,-O2,2180060038,15.111532,True
bwaves,-O2,2194990886,15.159612,True
kdtree,-O3,614528140,4.147212,True
kdtree,-O3,629567883,4.300297,True
kdtree,-O3,612856434,4.071168,True
fma3d,-O3,1411485568,9.398412,True
fma3d,-O3,1297961823,9.035911,True
fma3d,-O3,1257328224,8.808122,True
md,-O3,46635498331,262.342414,True
md,-O3,46793098788,262.462563,True
md,-O3,46728804507,262.580926,True
ilbdc,-O3,70299805827,409.432964,True
ilbdc,-O3,70352957468,409.515521,True
ilbdc,-O3,57383435246,324.300119,True
imagick,-O3,869809644,4.27715,False
imagick,-O3,870734031,4.273236,False
imagick,-O3,870820731,4.274513,False
swim,-O3,957303516,4.129583,True
swim,-O3,970376133,4.207447,True
swim,-O3,953492239,4.107591,True
nab,-O3,574411,0.007055,False
nab,-O3,385170,0.004921,False
nab,-O3,385801,0.004686,False
botsalgn,-O3,114505219,0.590068,True
botsalgn,-O3,114720000,0.589503,True
botsalgn,-O3,114235961,0.590658,True
smithwa,-O3,140796367,0.682888,True
smithwa,-O3,141447170,0.679836,True
smithwa,-O3,141597041,0.680986,True
botsspar,-O3,149130927,0.930734,True
botsspar,-O3,144000919,0.896507,True
botsspar,-O3,141167573,0.871618,True
bwaves,-O3,2198546574,15.137843,True
bwaves,-O3,2174451802,15.086191,True
bwaves,-O3,2174346668,15.085425,True
