Benchmark,Flags,Energy,Time,Success
mg.D.x,-O1,20921941654,84.642731,True
mg.D.x,-O1,21521204891,85.704274,True
mg.D.x,-O1,21661995904,84.809106,True
mg.D.x,-O1,21805534610,85.386993,True
mg.D.x,-O1,21720528631,84.803367,True
mg.D.x,-O1,21729609577,84.606441,True
mg.D.x,-O1,21763987221,84.682934,True
mg.D.x,-O1,21875178587,85.225999,True
mg.D.x,-O1,21846514253,84.899993,True
mg.D.x,-O1,21886365800,85.361545,True
sp.C.x,-O1,15462833835,66.035448,True
sp.C.x,-O1,15871638805,67.545434,True
sp.C.x,-O1,15394077599,65.305848,True
sp.C.x,-O1,15468352483,66.053534,True
sp.C.x,-O1,15399820685,65.404357,True
sp.C.x,-O1,15192685193,63.875036,True
sp.C.x,-O1,15453680789,65.753094,True
sp.C.x,-O1,15655055427,67.241331,True
sp.C.x,-O1,15231390809,64.181478,True
sp.C.x,-O1,15619549459,66.261636,True
ua.C.x,-O1,9114295250,40.885192,True
ua.C.x,-O1,8980391713,40.181633,True
ua.C.x,-O1,9064398096,40.724191,True
ua.C.x,-O1,9014987371,40.461767,True
ua.C.x,-O1,9012571829,40.469749,True
ua.C.x,-O1,8949554387,40.156097,True
ua.C.x,-O1,9024605275,40.532626,True
ua.C.x,-O1,9060953697,40.678171,True
ua.C.x,-O1,9064034663,40.671695,True
ua.C.x,-O1,9069458353,40.952047,True
bt.C.x,-O1,9191585052,39.786857,True
bt.C.x,-O1,9210558738,39.651141,True
bt.C.x,-O1,9216217669,39.695469,True
bt.C.x,-O1,9163192026,39.565739,True
bt.C.x,-O1,9190812455,39.65636,True
bt.C.x,-O1,9255738488,40.335058,True
bt.C.x,-O1,9192624410,39.760792,True
bt.C.x,-O1,9203908395,39.816387,True
bt.C.x,-O1,9210170781,39.933794,True
bt.C.x,-O1,9171232686,39.587127,True
ft.C.x,-O1,2882865259,11.19041,True
ft.C.x,-O1,2897155830,11.189695,True
ft.C.x,-O1,2894456016,11.164309,True
ft.C.x,-O1,2894215117,11.10276,True
ft.C.x,-O1,2953433995,11.370751,True
ft.C.x,-O1,2932970782,11.254316,True
ft.C.x,-O1,2924706391,11.189215,True
ft.C.x,-O1,2929508534,11.190899,True
ft.C.x,-O1,2932055838,11.259537,True
ft.C.x,-O1,2949070481,11.295927,True
is.D.x,-O1,7576355733,40.030604,True
is.D.x,-O1,7443446393,40.024978,True
is.D.x,-O1,7379714320,40.032316,True
is.D.x,-O1,7344204699,40.040417,True
is.D.x,-O1,7347763516,40.021072,True
is.D.x,-O1,7340967634,40.006116,True
is.D.x,-O1,7330463782,40.006923,True
is.D.x,-O1,7344953213,40.070097,True
is.D.x,-O1,7340330053,40.038979,True
is.D.x,-O1,7343185306,40.092721,True
ep.D.x,-O1,26623828328,129.710507,True
ep.D.x,-O1,26783900073,129.695034,True
ep.D.x,-O1,26953892385,129.908986,True
ep.D.x,-O1,26992356814,130.013407,True
ep.D.x,-O1,26884967302,129.771249,True
ep.D.x,-O1,26969831172,129.709719,True
ep.D.x,-O1,27046424167,130.003233,True
ep.D.x,-O1,26989834944,129.610382,True
ep.D.x,-O1,26867431304,129.734589,True
ep.D.x,-O1,26925621166,129.796587,True
cg.C.x,-O1,3248482937,14.427023,True
cg.C.x,-O1,3331035500,14.903251,True
cg.C.x,-O1,3265641852,14.520139,True
cg.C.x,-O1,3319249112,14.850878,True
cg.C.x,-O1,3258257653,14.464207,True
cg.C.x,-O1,3272954015,14.524211,True
cg.C.x,-O1,3266356936,14.508649,True
cg.C.x,-O1,3278346213,14.556695,True
cg.C.x,-O1,3286739031,14.636714,True
cg.C.x,-O1,3277635333,14.5756,True
lu.C.x,-O1,7200682273,31.148454,True
lu.C.x,-O1,7199006298,31.022475,True
lu.C.x,-O1,7226005895,31.081389,True
lu.C.x,-O1,6959298611,29.568877,True
lu.C.x,-O1,6802002057,28.801994,True
lu.C.x,-O1,6942236383,29.557005,True
lu.C.x,-O1,7300480190,31.60385,True
lu.C.x,-O1,6825279347,28.869953,True
lu.C.x,-O1,7156715001,30.698282,True
lu.C.x,-O1,6983371441,29.686337,True
mg.D.x,-O2,20965952015,84.300566,True
mg.D.x,-O2,21102862917,84.074513,True
mg.D.x,-O2,21120000595,84.269096,True
mg.D.x,-O2,21097000630,84.300198,True
mg.D.x,-O2,21136934119,84.372302,True
mg.D.x,-O2,21125330153,84.312273,True
mg.D.x,-O2,21137503538,84.286257,True
mg.D.x,-O2,21255487223,85.89149,True
mg.D.x,-O2,21078655963,84.152943,True
mg.D.x,-O2,21085683783,84.270814,True
sp.C.x,-O2,15924923065,69.484237,True
sp.C.x,-O2,15678646945,67.835727,True
sp.C.x,-O2,15777053253,68.666483,True
sp.C.x,-O2,15696169140,68.022823,True
sp.C.x,-O2,15706671963,68.242815,True
sp.C.x,-O2,15680101509,67.981654,True
sp.C.x,-O2,15712812244,68.105482,True
sp.C.x,-O2,15757868606,68.018358,True
sp.C.x,-O2,16475702182,70.455179,True
sp.C.x,-O2,15630535930,67.283325,True
ua.C.x,-O2,9044860276,40.682255,True
ua.C.x,-O2,9013182869,40.576759,True
ua.C.x,-O2,9191089743,41.620702,True
ua.C.x,-O2,8977835897,40.493316,True
ua.C.x,-O2,8975438818,40.544925,True
ua.C.x,-O2,8945470406,40.373435,True
ua.C.x,-O2,9117597034,41.489954,True
ua.C.x,-O2,9001793314,40.704352,True
ua.C.x,-O2,9006863535,40.656154,True
ua.C.x,-O2,9077312575,41.018906,True
bt.C.x,-O2,8972146325,38.975906,True
bt.C.x,-O2,9003385274,38.903217,True
bt.C.x,-O2,8999838745,38.994455,True
bt.C.x,-O2,9091435449,39.47414,True
bt.C.x,-O2,9019454395,39.055188,True
bt.C.x,-O2,9002278028,38.94133,True
bt.C.x,-O2,9030611101,38.99043,True
bt.C.x,-O2,9081695382,39.502781,True
bt.C.x,-O2,9098512259,39.661644,True
bt.C.x,-O2,9028710144,39.035155,True
ft.C.x,-O2,2723771523,10.8623,True
ft.C.x,-O2,2709751800,10.709306,True
ft.C.x,-O2,2735517182,10.837478,True
ft.C.x,-O2,2735539508,10.779885,True
ft.C.x,-O2,2723092722,10.688497,True
ft.C.x,-O2,2772001602,10.939723,True
ft.C.x,-O2,2752940137,10.753542,True
ft.C.x,-O2,2772201589,10.9837,True
ft.C.x,-O2,2756503686,10.883098,True
ft.C.x,-O2,2747719183,10.77195,True
is.D.x,-O2,7563639818,40.03051,True
is.D.x,-O2,7425052670,40.048941,True
is.D.x,-O2,7347701670,40.045453,True
is.D.x,-O2,7324477631,40.036515,True
is.D.x,-O2,7332131274,40.09566,True
is.D.x,-O2,7322379504,40.107787,True
is.D.x,-O2,7333050785,40.114231,True
is.D.x,-O2,7312207655,40.044577,True
is.D.x,-O2,7319610881,40.032646,True
is.D.x,-O2,7321359605,40.037233,True
ep.D.x,-O2,25724378544,125.385209,True
