Benchmark,Flags,Energy,Time,Success
tpacf,-O1,2027512506,13.821885,True
tpacf,-O1,1946062800,13.167218,True
tpacf,-O1,2201336022,14.860582,True
tpacf,-O1,2027092872,13.547811,True
tpacf,-O1,2173232541,14.61397,True
tpacf,-O1,2210201299,14.8354,True
tpacf,-O1,2228312122,14.921143,True
tpacf,-O1,2211106749,14.783824,True
tpacf,-O1,2214073078,14.820744,True
tpacf,-O1,2091045047,13.907525,True
stencil,-O1,1128731573,7.245849,True
stencil,-O1,1430960433,9.580367,True
stencil,-O1,1214262495,7.932307,True
stencil,-O1,1334584546,8.868805,True
stencil,-O1,1427070722,9.503083,True
stencil,-O1,1364756952,8.897461,True
stencil,-O1,1230669692,8.008002,True
stencil,-O1,1229634400,8.030478,True
stencil,-O1,1373796749,9.05575,True
stencil,-O1,1310946736,8.576969,True
lbm,-O1,7508770689,34.583093,True
lbm,-O1,7470705694,34.172179,True
lbm,-O1,7495503129,34.293153,True
lbm,-O1,7607418172,34.77809,True
lbm,-O1,7624016651,34.883216,True
lbm,-O1,7647255149,35.032037,True
lbm,-O1,7487984463,34.019996,True
lbm,-O1,7502810191,34.177669,True
lbm,-O1,7430925120,33.49848,True
lbm,-O1,7467154414,33.707814,True
bfs,-O1,1921040111,14.069929,True
bfs,-O1,1832867621,13.623791,True
bfs,-O1,1814592266,13.497675,True
bfs,-O1,1824489018,13.673475,True
bfs,-O1,1869033601,13.902173,True
bfs,-O1,1903327754,14.110717,True
bfs,-O1,1867643467,13.885142,True
bfs,-O1,1845643193,13.733671,True
bfs,-O1,1830136270,13.774317,True
bfs,-O1,1845075577,13.761163,True
histo,-O1,2881384762,22.315476,True
histo,-O1,3997249928,28.54869,True
histo,-O1,4077262727,28.819123,True
histo,-O1,4068947391,28.818242,True
histo,-O1,3034577477,23.314218,True
histo,-O1,3152120776,23.799832,True
histo,-O1,3817380172,27.136627,True
histo,-O1,3723184152,26.634902,True
histo,-O1,2899547385,22.382431,True
histo,-O1,4130913674,29.122349,True
mri-gridding,-O1,8690700404,59.927923,True
mri-gridding,-O1,8814869747,60.438035,True
mri-gridding,-O1,8362956808,57.702301,True
mri-gridding,-O1,8522389711,58.77457,True
mri-gridding,-O1,7520720221,51.966237,True
mri-gridding,-O1,8143846244,56.144691,True
mri-gridding,-O1,8395810254,57.903999,True
mri-gridding,-O1,8065093875,55.521099,True
mri-gridding,-O1,8925297004,61.1311,True
mri-gridding,-O1,7692062319,53.139086,True
tpacf,-O2,1876333774,12.437654,True
tpacf,-O2,2099716641,13.96811,True
tpacf,-O2,1889980517,12.502798,True
tpacf,-O2,1889063444,12.524569,True
tpacf,-O2,2005629170,13.325864,True
tpacf,-O2,1878495128,12.474386,True
tpacf,-O2,1957696494,13.041716,True
tpacf,-O2,2081966510,13.863823,True
tpacf,-O2,1886583739,12.497027,True
tpacf,-O2,2055452537,13.649825,True
stencil,-O2,1093009937,6.931879,True
stencil,-O2,1181862291,7.62966,True
stencil,-O2,1381154126,9.028456,True
stencil,-O2,1299929458,8.469992,True
stencil,-O2,1263920046,8.375066,True
stencil,-O2,1195425497,7.990848,True
stencil,-O2,1295222776,8.377702,True
stencil,-O2,1412722499,9.664185,True
stencil,-O2,1105669265,7.055347,True
stencil,-O2,1192337634,7.680009,True
lbm,-O2,7322283057,34.111172,True
lbm,-O2,7277450692,33.675766,True
lbm,-O2,7368145557,34.154743,True
lbm,-O2,7313629668,33.770838,True
lbm,-O2,7325620790,33.800872,True
lbm,-O2,7317846972,33.700627,True
lbm,-O2,7488301867,34.767698,True
lbm,-O2,7346093869,33.769011,True
lbm,-O2,7323001133,33.630158,True
lbm,-O2,7309749775,33.554894,True
bfs,-O2,1926553947,14.163237,True
bfs,-O2,1877460960,13.858812,True
bfs,-O2,1903460667,14.172758,True
bfs,-O2,1826563047,13.581586,True
bfs,-O2,1915453635,14.218178,True
bfs,-O2,1947319797,14.441924,True
bfs,-O2,1853525585,13.787619,True
bfs,-O2,1921500695,14.269284,True
bfs,-O2,1849505679,13.820753,True
bfs,-O2,1898205297,13.859284,True
histo,-O2,2860732821,22.157659,True
histo,-O2,3973917198,28.483934,True
histo,-O2,3297787777,24.656846,True
histo,-O2,3327263325,24.909105,True
histo,-O2,3792782779,27.473413,True
histo,-O2,3427011654,25.518044,True
histo,-O2,3024881777,23.174719,True
histo,-O2,2813997833,21.896093,True
histo,-O2,2874828917,22.322355,True
histo,-O2,3742339960,27.178687,True
mri-gridding,-O2,8151370288,56.459049,True
mri-gridding,-O2,8009203348,55.57383,True
mri-gridding,-O2,8197410589,56.571412,True
mri-gridding,-O2,8395494223,58.02504,True
mri-gridding,-O2,8398682523,58.148969,True
mri-gridding,-O2,8668527077,59.830048,True
mri-gridding,-O2,8151498549,56.405899,True
mri-gridding,-O2,7665570783,52.963575,True
mri-gridding,-O2,8693268454,60.141569,True
mri-gridding,-O2,8484402558,58.85134,True
tpacf,-O3,2038898867,13.602785,True
tpacf,-O3,2041475862,13.617486,True
tpacf,-O3,1925647772,12.779961,True
tpacf,-O3,2041615340,13.625887,True
tpacf,-O3,1962686824,13.025798,True
tpacf,-O3,2066750292,13.774842,True
tpacf,-O3,1955665369,12.968243,True
tpacf,-O3,1992384702,13.286752,True
tpacf,-O3,2059563044,13.743736,True
tpacf,-O3,2122252157,14.238841,True
stencil,-O3,1125600136,7.220585,True
stencil,-O3,1380653074,9.072795,True
stencil,-O3,1120238423,7.244144,True
stencil,-O3,1092328704,7.082336,True
stencil,-O3,1136485825,7.324856,True
stencil,-O3,1109912840,6.978995,True
stencil,-O3,1414719567,9.296684,True
stencil,-O3,1435643670,9.570868,True
stencil,-O3,1160705661,7.464313,True
stencil,-O3,1251817950,8.126323,True
lbm,-O3,7331589788,34.125215,True
