Benchmark,Flags,Energy,Time,Success
backprop,-O1,4686421917,41.721589,True
backprop,-O1,4518266436,41.247486,True
backprop,-O1,4452109045,41.130144,True
backprop,-O1,4517707378,42.089976,True
backprop,-O1,4547499962,41.362746,True
backprop,-O1,4557484329,41.937101,True
backprop,-O1,4513072969,41.483906,True
backprop,-O1,4455562893,41.452468,True
backprop,-O1,4465946244,41.171761,True
backprop,-O1,4460092152,41.291174,True
hotspot,-O1,15855883719,76.095547,True
hotspot,-O1,16400002380,78.394098,True
hotspot,-O1,16706369452,79.997004,True
hotspot,-O1,16164369777,76.22131,True
hotspot,-O1,16958576471,81.036505,True
hotspot,-O1,16579330561,78.86543,True
hotspot,-O1,16946348313,81.230166,True
hotspot,-O1,16504383794,78.626392,True
hotspot,-O1,16214850306,76.702833,True
hotspot,-O1,16853631087,80.537471,True
kmeans,-O1,4081214659,26.96813,True
kmeans,-O1,4060395670,26.956854,True
kmeans,-O1,3893830405,26.084491,True
kmeans,-O1,4008711978,26.779271,True
kmeans,-O1,4037189897,26.998906,True
kmeans,-O1,3978962116,26.698454,True
kmeans,-O1,4159158361,27.54198,True
kmeans,-O1,4140717901,27.502279,True
kmeans,-O1,3998823181,26.862349,True
kmeans,-O1,3990375430,26.718607,True
srad,-O1,10979569485,54.796543,True
srad,-O1,11006462673,54.634269,True
srad,-O1,11059474556,54.798501,True
srad,-O1,11085765424,54.858648,True
srad,-O1,11076810091,54.8918,True
srad,-O1,11072112200,54.782267,True
srad,-O1,11072838452,54.901719,True
srad,-O1,11092002903,54.866027,True
srad,-O1,11068849184,54.739918,True
srad,-O1,11060033110,54.755265,True
streamcluster,-O1,9031005838,53.600412,True
streamcluster,-O1,9078735463,54.019476,True
streamcluster,-O1,8833029111,52.419091,True
streamcluster,-O1,8706239995,51.615579,True
streamcluster,-O1,8641031837,51.202941,True
streamcluster,-O1,8926385782,53.16463,True
streamcluster,-O1,8945160315,53.375181,True
streamcluster,-O1,8704434734,51.548357,True
streamcluster,-O1,9457166475,56.730593,True
streamcluster,-O1,8498048973,50.3283,True
backprop,-O2,4601057013,41.293054,True
backprop,-O2,4541142825,41.391691,True
backprop,-O2,4536954140,41.633988,True
backprop,-O2,4524277027,41.692157,True
backprop,-O2,4573460430,41.948,True
backprop,-O2,4591688060,42.584665,True
backprop,-O2,4488403806,41.192703,True
backprop,-O2,4555779899,41.478175,True
backprop,-O2,4520935386,41.144169,True
backprop,-O2,4500564960,41.689391,True
hotspot,-O2,7847676411,37.181503,True
hotspot,-O2,7933199007,37.348634,True
hotspot,-O2,7989943661,37.319802,True
hotspot,-O2,7961123056,37.036215,True
hotspot,-O2,8037137716,37.512595,True
hotspot,-O2,8030083120,37.210992,True
hotspot,-O2,8024308273,37.190438,True
hotspot,-O2,8012341299,37.095041,True
hotspot,-O2,8011796178,37.186705,True
hotspot,-O2,8013123899,37.398056,True
kmeans,-O2,4395318245,28.535855,True
kmeans,-O2,4329503332,28.165654,True
kmeans,-O2,4268717889,28.132986,True
kmeans,-O2,4328269602,28.463818,True
kmeans,-O2,4339963471,28.484239,True
kmeans,-O2,4358235874,28.52882,True
kmeans,-O2,4367267750,28.496179,True
kmeans,-O2,4359746961,28.555057,True
kmeans,-O2,4340683119,28.534649,True
kmeans,-O2,4332821918,28.484946,True
srad,-O2,8788167400,42.536606,True
srad,-O2,8785312294,42.235277,True
srad,-O2,9268628304,44.672004,True
srad,-O2,8824988997,42.313886,True
srad,-O2,8825260155,42.255841,True
srad,-O2,8827125278,42.235423,True
srad,-O2,9270762999,44.650552,True
srad,-O2,9269620729,44.60922,True
srad,-O2,8813718378,42.206102,True
srad,-O2,9260602914,44.582653,True
streamcluster,-O2,7678143408,44.215435,True
streamcluster,-O2,8365314644,48.928399,True
streamcluster,-O2,7893873067,45.844266,True
streamcluster,-O2,8114183184,47.271037,True
streamcluster,-O2,7610819837,44.224038,True
streamcluster,-O2,7935894155,46.156544,True
streamcluster,-O2,7775663876,45.162797,True
streamcluster,-O2,7579381536,43.829205,True
streamcluster,-O2,7618242569,44.128772,True
streamcluster,-O2,7632263377,44.254257,True
backprop,-O3,4593834299,41.432601,True
backprop,-O3,4511906091,41.278228,True
backprop,-O3,4481307400,41.396606,True
backprop,-O3,4515381109,41.567227,True
backprop,-O3,4490719052,41.770794,True
backprop,-O3,4498137144,41.561011,True
backprop,-O3,4534511751,41.919596,True
backprop,-O3,4512979502,41.593142,True
backprop,-O3,4555642588,42.024048,True
backprop,-O3,4488437991,41.378383,True
hotspot,-O3,9584976207,47.031968,True
hotspot,-O3,9731059046,47.360301,True
hotspot,-O3,9679265437,46.814668,True
hotspot,-O3,9718673906,46.802312,True
hotspot,-O3,9829404354,47.564551,True
hotspot,-O3,9787525896,47.269431,True
hotspot,-O3,9708845305,46.507349,True
hotspot,-O3,9796168822,46.967526,True
hotspot,-O3,9801539792,47.158969,True
hotspot,-O3,9812960453,47.30615,True
kmeans,-O3,4465025278,28.964339,True
kmeans,-O3,4463993142,29.220025,True
kmeans,-O3,4431690080,29.156286,True
kmeans,-O3,4389384261,29.044341,True
kmeans,-O3,4477354277,29.531207,True
kmeans,-O3,4475075996,29.330828,True
kmeans,-O3,4463071049,29.406554,True
kmeans,-O3,4469870934,29.276353,True
kmeans,-O3,4452639166,29.072151,True
kmeans,-O3,4391761791,28.841423,True
srad,-O3,8746710071,42.162544,True
srad,-O3,9172208022,43.937041,True
srad,-O3,9125449082,43.765657,True
srad,-O3,8778080307,41.909572,True
srad,-O3,8797051769,41.962769,True
srad,-O3,8806801851,41.930585,True
srad,-O3,9143000207,43.7232,True
srad,-O3,9178669739,43.964407,True
srad,-O3,8788040355,41.954731,True
srad,-O3,9150483049,43.761143,True
streamcluster,-O3,7724805163,44.470713,True
streamcluster,-O3,7947303082,46.158191,True
streamcluster,-O3,7610324582,43.695681,True
streamcluster,-O3,8017038912,46.628521,True
streamcluster,-O3,7851546747,45.730344,True
streamcluster,-O3,7490054280,43.238489,True
streamcluster,-O3,7589016465,44.079171,True
streamcluster,-O3,7639821299,44.268489,True
streamcluster,-O3,8314904653,48.754028,True
streamcluster,-O3,7875354490,45.869949,True
