Benchmark,DisabledFlag,Flags,Time,Energy,Success
BT.C,-O3,-fno-align-labels -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,0.01231,993102,False
BT.C,-O3,-fno-align-labels -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,0.005335,440176,False
BT.C,-O3,-fno-align-labels -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,0.005472,459098,False
BT.C,-O3,-fno-align-labels -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,0.006406,532164,False
BT.C,-O3,-fno-align-labels -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,0.005877,495984,False
BT.C,-fno-align-labels,-O3 -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,38.369581,8627960530,True
BT.C,-fno-align-labels,-O3 -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,38.362732,8801636061,True
BT.C,-fno-align-labels,-O3 -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,38.67512,8933933754,True
BT.C,-fno-align-labels,-O3 -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,38.16454,8895318441,True
BT.C,-fno-align-labels,-O3 -fbranch-target-load-optimize -fbranch-target-load-optimize2 -fbtr-bb-exclusive -fno-code-hoisting -fconserve-stack -fdelayed-branch -fdelete-dead-exceptions -fno-devirtualize -fno-exceptions -fgcse-las -fgcse-sm -fno-graphite -fgraphite-identity -fno-indirect-inlining -fno-inline -fno-inline-functions-called-once -fno-ipa-icf -fno-ipa-pta -fno-ipa-reference -fno-ira-loop-pressure -fisolate-erroneous-paths-attribute -fno-ivopts -fkeep-gc-roots-live -flimit-function-alignment -flive-range-shrinkage -floop-nest-optimize -floop-parallelize-all -fmodulo-sched -fmodulo-sched-allow-regmoves -fomit-frame-pointer -fno-pack-struct -freg-struct-return -freschedule-modulo-scheduled-loops -fsched-pressure -fsched-spec-load -fsched-spec-load-dangerous -fsched-stalled-insns -fno-sched2-use-superblocks -fno-schedule-insns -fno-schedule-insns2 -fsel-sched-pipelining -fsel-sched-pipelining-outer-loops -fsel-sched-reschedule-pipelined -fselective-scheduling -fselective-scheduling2 -fshort-wchar -fno-split-paths -fno-split-wide-types -fstack-protector -ftracer -ftrapv -ftree-loop-distribution -ftree-lrs -ftree-vectorize -funconstrained-commons -funroll-all-loops -funroll-loops -funwind-tables -fvariable-expansion-in-unroller -fwrapv,38.639147,8931190200,True
