Optimisation,O0,O1,O2,O3,,
  -faggressive-loop-optimizations ,[enabled],[enabled],[enabled],[enabled],,"'-faggressive-loop-optimizations',"
  -falign-functions           ,[disabled],[disabled],[enabled],[enabled],,"'-falign-functions',"
  -falign-jumps               ,[disabled],[disabled],[enabled],[enabled],,"'-falign-jumps',"
  -falign-labels              ,[disabled],[disabled],[enabled],[enabled],,"'-falign-labels',"
  -falign-loops               ,[disabled],[disabled],[enabled],[enabled],,"'-falign-loops',"
  -fasynchronous-unwind-tables ,[enabled],[enabled],[enabled],[enabled],,"'-fasynchronous-unwind-tables',"
  -fauto-inc-dec              ,[enabled],[enabled],[enabled],[enabled],,"'-fauto-inc-dec',"
  -fbranch-count-reg          ,[disabled],[enabled],[enabled],[enabled],,"'-fbranch-count-reg',"
  -fbranch-target-load-optimize ,[disabled],[disabled],[disabled],[disabled],,"'-fbranch-target-load-optimize',"
  -fbranch-target-load-optimize2 ,[disabled],[disabled],[disabled],[disabled],,"'-fbranch-target-load-optimize2',"
  -fbtr-bb-exclusive          ,[disabled],[disabled],[disabled],[disabled],,"'-fbtr-bb-exclusive',"
  -fcaller-saves              ,[disabled],[disabled],[enabled],[enabled],,"'-fcaller-saves',"
  -fcode-hoisting             ,[disabled],[disabled],[enabled],[enabled],,"'-fcode-hoisting',"
  -fcombine-stack-adjustments ,[disabled],[enabled],[enabled],[enabled],,"'-fcombine-stack-adjustments',"
  -fcompare-elim              ,[disabled],[enabled],[enabled],[enabled],,"'-fcompare-elim',"
  -fconserve-stack            ,[disabled],[disabled],[disabled],[disabled],,"'-fconserve-stack',"
  -fcprop-registers           ,[disabled],[enabled],[enabled],[enabled],,"'-fcprop-registers',"
  -fcrossjumping              ,[disabled],[disabled],[enabled],[enabled],,"'-fcrossjumping',"
  -fcse-follow-jumps          ,[disabled],[disabled],[enabled],[enabled],,"'-fcse-follow-jumps',"
  -fdce                       ,[enabled],[enabled],[enabled],[enabled],,"'-fdce',"
  -fdefer-pop                 ,[disabled],[enabled],[enabled],[enabled],,"'-fdefer-pop',"
  -fdelayed-branch            ,[disabled],[disabled],[disabled],[disabled],,"'-fdelayed-branch',"
  -fdelete-dead-exceptions    ,[disabled],[disabled],[disabled],[disabled],,"'-fdelete-dead-exceptions',"
  -fdelete-null-pointer-checks ,[enabled],[enabled],[enabled],[enabled],,"'-fdelete-null-pointer-checks',"
  -fdevirtualize              ,[disabled],[disabled],[enabled],[enabled],,"'-fdevirtualize',"
  -fdevirtualize-speculatively ,[disabled],[disabled],[enabled],[enabled],,"'-fdevirtualize-speculatively',"
  -fdse                       ,[enabled],[enabled],[enabled],[enabled],,"'-fdse',"
  -fearly-inlining            ,[enabled],[enabled],[enabled],[enabled],,"'-fearly-inlining',"
  -fexceptions                ,[disabled],[disabled],[disabled],[disabled],,"'-fexceptions',"
  -fexpensive-optimizations   ,[disabled],[disabled],[enabled],[enabled],,"'-fexpensive-optimizations',"
  -fforward-propagate         ,[disabled],[enabled],[enabled],[enabled],,"'-fforward-propagate',"
  -ffunction-cse              ,[enabled],[enabled],[enabled],[enabled],,"'-ffunction-cse',"
